Wk,Winner,Loser
13,Hawaii,Nevada-Las Vegas
13,Houston,East Carolina
13,Indiana,Michigan State
13,Iowa,Minnesota
13,James Madison,Georgia State
13,(19) Kansas State,West Virginia
13,(6) Louisiana State,Alabama-Birmingham
13,Louisville,North Carolina State
13,Marshall,Georgia Southern
13,Memphis,North Alabama
13,(3) Michigan,Illinois
13,Middle Tennessee State,Florida Atlantic
13,Mississippi State,East Tennessee State
13,Missouri,New Mexico State
13,Navy,(17) Central Florida
13,(18) Notre Dame,Boston College
13,(2) Ohio State,Maryland
13,Oklahoma,(24) Oklahoma State
13,(12) Oregon,(10) Utah
13,(25) Oregon State,Arizona State
13,(11) Penn State,Rutgers
13,Pittsburgh,Duke
13,Purdue,Northwestern
13,South Alabama,Southern Mississippi
13,South Carolina,(5) Tennessee
13,(7) Southern California,(16) UCLA
13,Texas,Kansas
13,Texas A&M,Massachusetts
13,(4) Texas Christian,Baylor
13,Texas State,Arkansas State
13,Texas Tech,Iowa State
13,Texas-El Paso,Florida International
13,Texas-San Antonio,Rice
13,Troy,Louisiana-Monroe
13,Utah State,San Jose State
13,Vanderbilt,Florida
13,Virginia Tech,Liberty
13,Wake Forest,Syracuse
13,(15) Washington,Colorado
13,Washington State,Arizona
13,Wisconsin,Nebraska
14,Miami (OH),Ball State
14,Ohio,Bowling Green
14,Mississippi State,(20) Mississippi
14,Arizona,Arizona State
14,Boise State,Utah State
14,Colorado State,New Mexico
14,Eastern Michigan,Central Michigan
14,(16) Florida State,Florida
14,Fresno State,Wyoming
14,Missouri,Arkansas
14,Nebraska,Iowa
14,North Carolina State,(18) North Carolina
14,(24) Texas,Baylor
14,(19) Tulane,(21) Cincinnati
14,(17) UCLA,California
14,Western Michigan,Toledo
14,Air Force,San Diego State
14,Akron,Northern Illinois
14,(8) Alabama,Auburn
14,Alabama-Birmingham,Louisiana Tech
14,Army,Massachusetts
14,Brigham Young,Stanford
14,(25) Central Florida,South Florida
14,Duke,Wake Forest
14,East Carolina,Temple
14,(1) Georgia,Georgia Tech
14,Georgia Southern,Appalachian State
14,Illinois,Northwestern
14,James Madison,(23) Coastal Carolina
